system:index,dewpoint_m01,dewpoint_m02,dewpoint_m03,dewpoint_m04,dewpoint_m05,dewpoint_m06,dewpoint_m07,dewpoint_m08,dewpoint_m09,dewpoint_m10,dewpoint_m11,dewpoint_m12,precip_m01,precip_m02,precip_m03,precip_m04,precip_m05,precip_m06,precip_m07,precip_m08,precip_m09,precip_m10,precip_m11,precip_m12,pressure_m01,pressure_m02,pressure_m03,pressure_m04,pressure_m05,pressure_m06,pressure_m07,pressure_m08,pressure_m09,pressure_m10,pressure_m11,pressure_m12,temp_m01,temp_m02,temp_m03,temp_m04,temp_m05,temp_m06,temp_m07,temp_m08,temp_m09,temp_m10,temp_m11,temp_m12,wind_u_m01,wind_u_m02,wind_u_m03,wind_u_m04,wind_u_m05,wind_u_m06,wind_u_m07,wind_u_m08,wind_u_m09,wind_u_m10,wind_u_m11,wind_u_m12,wind_v_m01,wind_v_m02,wind_v_m03,wind_v_m04,wind_v_m05,wind_v_m06,wind_v_m07,wind_v_m08,wind_v_m09,wind_v_m10,wind_v_m11,wind_v_m12,.geo
0_0,274.59275817871094,271.24522399902344,281.1411437988281,282.20420837402344,287.3951416015625,293.5931701660156,295.03253173828125,294.94248962402344,291.0498046875,287.7328643798828,277.7050323486328,282.9024658203125,0.002432141813415001,0.0051823862950186594,0.00489261430368515,0.003609709143518103,0.0075581062704372926,0.004317038481815416,0.0051275894525701915,0.0023932828025863273,0.0025709499914228218,0.0038080836495169024,0.0016190158312383574,0.004771840282955964,101262.73046875,101439.24609375,101259.109375,100985.86328125,101152.625,100813.6953125,100935.3984375,100897.96484375,100901.2109375,100794.41796875,101562.53125,100996.8203125,279.7573547363281,275.71112060546875,287.54681396484375,289.17848205566406,293.73443603515625,299.02159118652344,300.6756286621094,301.1511993408203,297.79161071777344,293.27259826660156,284.43212890625,286.93861389160156,0.39929771423339844,-0.3092975616455078,-0.24011802673339844,0.2003469467163086,-0.6953649520874023,-0.1415843963623047,0.1971902847290039,-0.4668388366699219,-0.49810028076171875,0.3528594970703125,0.08452033996582031,0.5016641616821289,-0.1052560806274414,-0.9094228744506836,0.7672996520996094,0.5592985153198242,0.8010997772216797,1.1425895690917969,0.5311298370361328,0.4772167205810547,0.49394798278808594,0.8049221038818359,0.37962913513183594,1.4290084838867188,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,274.30955505371094,270.86241149902344,280.8462219238281,282.04795837402344,287.2369384765625,293.4916076660156,294.85675048828125,294.63194274902344,290.7451171875,287.5863800048828,277.4921417236328,282.6329345703125,0.0022227506963190535,0.004819010303435789,0.004129279969788513,0.004130482375501288,0.008333108213548712,0.004109502559288103,0.004360380816763154,0.002126984150891076,0.002348982294279267,0.0036068807204969744,0.0016970383112493437,0.005536530622521241,101263.73046875,101451.24609375,101257.109375,100982.86328125,101153.625,100808.6953125,100930.3984375,100896.96484375,100899.2109375,100788.41796875,101560.53125,100985.8203125,279.4897766113281,275.37908935546875,287.40423583984375,289.03981018066406,293.62115478515625,299.00791931152344,300.6990661621094,301.2722930908203,297.95957946777344,293.13978576660156,284.26416015625,286.68666076660156,0.39050865173339844,-0.3561725616455078,-0.23084068298339844,0.2189016342163086,-0.6982946395874023,-0.12156486511230469,0.1566629409790039,-0.4941825866699219,-0.48394012451171875,0.3606719970703125,0.09721565246582031,0.5065469741821289,-0.1213693618774414,-0.9079580307006836,0.7502098083496094,0.5710172653198242,0.8108654022216797,1.1333122253417969,0.5032978057861328,0.5231151580810547,0.5256862640380859,0.8122463226318359,0.41185569763183594,1.4124069213867188,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,274.51463317871094,271.22178649902344,281.1040344238281,282.13975524902344,287.3326416015625,293.5814514160156,295.05401611328125,294.95030212402344,291.0185546875,287.6566925048828,277.5663604736328,282.8243408203125,0.0024080242840227584,0.005240564153609739,0.004890230117894134,0.0034362372754799253,0.0071702811986256165,0.004300311928375322,0.005066286075418702,0.0023936329798743827,0.002502851684766938,0.003719891126991115,0.0015640976016584318,0.004657280155697663,101261.73046875,101437.24609375,101261.109375,100985.86328125,101154.625,100815.6953125,100934.3984375,100898.96484375,100902.2109375,100795.41796875,101562.53125,100999.8203125,279.7319641113281,275.73846435546875,287.46673583984375,289.10231018066406,293.66217041015625,298.93565368652344,300.5818786621094,301.0691680908203,297.66075134277344,293.20814514160156,284.33837890625,286.89369201660156,0.40759849548339844,-0.2790241241455078,-0.24109458923339844,0.2086477279663086,-0.6885290145874023,-0.1459789276123047,0.2001199722290039,-0.4707450866699219,-0.5054244995117188,0.3562774658203125,0.08940315246582031,0.4977579116821289,-0.1052560806274414,-0.9265127182006836,0.7707176208496094,0.5592985153198242,0.7923107147216797,1.1474723815917969,0.5345478057861328,0.4528026580810547,0.48662376403808594,0.8029689788818359,0.37328147888183594,1.4314498901367188,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,274.28025817871094,270.96983337402344,280.8950500488281,282.00303649902344,287.2193603515625,293.5248107910156,294.97198486328125,294.81944274902344,290.8525390625,287.5199737548828,277.3319854736328,282.6212158203125,0.0022792708007273177,0.005067177967248426,0.00431982856855484,0.0036287230252014524,0.007872997608785681,0.0041746876889305895,0.004985246110265962,0.002291776092533837,0.0023468663293897407,0.003639506812930904,0.0015459628884855192,0.005071577140370209,101274.73046875,101455.24609375,101274.109375,100997.86328125,101168.625,100826.6953125,100945.3984375,100910.96484375,100914.2109375,100805.41796875,101575.53125,101008.8203125,279.5444641113281,275.55291748046875,287.30657958984375,288.94996643066406,293.53521728515625,298.87120056152344,300.5096130371094,301.0496368408203,297.63926696777344,293.05580139160156,284.12353515625,286.69837951660156,0.41101646423339844,-0.2907428741455078,-0.24060630798339844,0.2164602279663086,-0.7017126083374023,-0.1406078338623047,0.1884012222290039,-0.4853935241699219,-0.5049362182617188,0.3592071533203125,0.09721565246582031,0.4967813491821289,-0.1189279556274414,-0.9426259994506836,0.7702293395996094,0.5734586715698242,0.8040294647216797,1.1587028503417969,0.5267353057861328,0.4698925018310547,0.49834251403808594,0.8127346038818359,0.38060569763183594,1.4343795776367188,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,274.15525817871094,270.79991149902344,280.7680969238281,281.87608337402344,287.0592041015625,293.4252014160156,294.88409423828125,294.62217712402344,290.6474609375,287.3871612548828,277.1601104736328,282.4493408203125,0.002169702562468956,0.005060669885097013,0.004094984947300873,0.0036783215402351743,0.007502435532217078,0.004035957878215868,0.004407915520971528,0.002167165132050286,0.0022050817806302803,0.00348855059945663,0.0015544863526884,0.0053278249588402105,101256.73046875,101441.24609375,101259.109375,100980.86328125,101156.625,100811.6953125,100928.3984375,100896.96484375,100900.2109375,100787.41796875,101557.53125,100989.8203125,279.3979797363281,275.40447998046875,287.18743896484375,288.83668518066406,293.45709228515625,298.80479431152344,300.4666442871094,301.0789337158203,297.65293884277344,292.97377014160156,283.98095703125,286.52259826660156,0.41638755798339844,-0.2653522491455078,-0.22986412048339844,0.2418508529663086,-0.6807165145874023,-0.1298656463623047,0.1693582534790039,-0.4985771179199219,-0.5039596557617188,0.3699493408203125,0.11088752746582031,0.4977579116821289,-0.1194162368774414,-0.9562978744506836,0.7643699645996094,0.5715055465698242,0.7903575897216797,1.1499137878417969,0.5125751495361328,0.4484081268310547,0.5061550140380859,0.8102931976318359,0.39232444763183594,1.4226608276367188,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,274.66893005371094,271.44834899902344,281.2388000488281,282.18467712402344,287.3814697265625,293.5814514160156,295.08526611328125,295.00889587402344,291.0986328125,287.7367706298828,277.7206573486328,282.9708251953125,0.002522308739798973,0.005380601541219221,0.005540814815617523,0.003301694691060675,0.00659007468522077,0.00443796140490349,0.005072090077703706,0.002446241529469262,0.002687909205633332,0.003777424510360561,0.0015913369243207853,0.004238885351696808,101249.73046875,101420.24609375,101250.109375,100976.86328125,101142.625,100807.6953125,100926.3984375,100887.96484375,100892.2109375,100787.41796875,101552.53125,100992.8203125,279.9194641113281,275.94158935546875,287.66790771484375,289.27027893066406,293.81060791015625,299.03135681152344,300.6521911621094,301.1082305908203,297.71739196777344,293.35267639160156,284.54150390625,287.09291076660156,0.40515708923339844,-0.2707233428955078,-0.24402427673339844,0.1988821029663086,-0.6821813583374023,-0.1528148651123047,0.2133035659790039,-0.4600028991699219,-0.5083541870117188,0.3509063720703125,0.07768440246582031,0.4987344741821289,-0.0920724868774414,-0.9133291244506836,0.7677879333496094,0.5456266403198242,0.7820568084716797,1.1381950378417969,0.5506610870361328,0.4381542205810547,0.47246360778808594,0.7941799163818359,0.36400413513183594,1.4324264526367188,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,274.24900817871094,270.82725524902344,280.8188781738281,282.01084899902344,287.1998291015625,293.4759826660156,294.85675048828125,294.61631774902344,290.6865234375,287.5258331298828,277.3651885986328,282.5723876953125,0.0022087659565386275,0.004919432954011427,0.004123915551758728,0.003994904160379065,0.008201322343950324,0.004053854172809679,0.004400293577020875,0.0021383462863013847,0.002353482444959809,0.003644968088508449,0.00164439250875148,0.005547184952774842,101292.73046875,101480.24609375,101288.109375,101011.86328125,101184.625,100838.6953125,100958.3984375,100925.96484375,100928.2109375,100817.41796875,101590.53125,101017.8203125,279.4507141113281,275.38885498046875,287.31829833984375,288.95777893066406,293.55279541015625,298.95518493652344,300.6443786621094,301.2527618408203,297.90098571777344,293.06361389160156,284.13525390625,286.61439514160156,0.39783287048339844,-0.3244342803955078,-0.22839927673339844,0.2262258529663086,-0.6934118270874023,-0.12351799011230469,0.1634988784790039,-0.4912528991699219,-0.48735809326171875,0.3606719970703125,0.10209846496582031,0.5021524429321289,-0.1199045181274414,-0.9230947494506836,0.7541160583496094,0.5710172653198242,0.8040294647216797,1.1377067565917969,0.5072040557861328,0.4967479705810547,0.5168972015380859,0.8117580413818359,0.40404319763183594,1.4119186401367188,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,274.30955505371094,270.86241149902344,280.8462219238281,282.04795837402344,287.2369384765625,293.4916076660156,294.85675048828125,294.63194274902344,290.7451171875,287.5863800048828,277.4921417236328,282.6329345703125,0.0022227506963190535,0.004819010303435789,0.004129279969788513,0.004130482375501288,0.008333108213548712,0.004109502559288103,0.004360380816763154,0.002126984150891076,0.002348982294279267,0.0036068807204969744,0.0016970383112493437,0.005536530622521241,101263.73046875,101451.24609375,101257.109375,100982.86328125,101153.625,100808.6953125,100930.3984375,100896.96484375,100899.2109375,100788.41796875,101560.53125,100985.8203125,279.4897766113281,275.37908935546875,287.40423583984375,289.03981018066406,293.62115478515625,299.00791931152344,300.6990661621094,301.2722930908203,297.95957946777344,293.13978576660156,284.26416015625,286.68666076660156,0.39050865173339844,-0.3561725616455078,-0.23084068298339844,0.2189016342163086,-0.6982946395874023,-0.12156486511230469,0.1566629409790039,-0.4941825866699219,-0.48394012451171875,0.3606719970703125,0.09721565246582031,0.5065469741821289,-0.1213693618774414,-0.9079580307006836,0.7502098083496094,0.5710172653198242,0.8108654022216797,1.1333122253417969,0.5032978057861328,0.5231151580810547,0.5256862640380859,0.8122463226318359,0.41185569763183594,1.4124069213867188,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,274.15721130371094,270.78233337402344,280.7661437988281,281.92686462402344,287.1256103515625,293.4564514160156,294.86260986328125,294.61241149902344,290.6435546875,287.4281768798828,277.2128448486328,282.4805908203125,0.0021857883659777144,0.004981634126124845,0.004119199334240875,0.0038261932133423215,0.007832198229436926,0.004036889200790483,0.004354994046991578,0.0021413861231849296,0.0022876342136441963,0.003564278300643764,0.0015913071219983976,0.005439285644570191,101279.73046875,101466.24609375,101279.109375,101001.86328125,101176.625,100830.6953125,100949.3984375,100916.96484375,100920.2109375,100808.41796875,101579.53125,101009.8203125,279.3999328613281,275.39471435546875,287.20306396484375,288.85035705566406,293.46685791015625,298.84385681152344,300.5232849121094,301.1472930908203,297.74668884277344,292.97377014160156,283.99267578125,286.53431701660156,0.40662193298339844,-0.2941608428955078,-0.22888755798339844,0.2340383529663086,-0.6870641708374023,-0.1274242401123047,0.1669168472290039,-0.4951591491699219,-0.49468231201171875,0.3645782470703125,0.10746955871582031,0.4987344741821289,-0.1194162368774414,-0.9396963119506836,0.7580223083496094,0.5710172653198242,0.7957286834716797,1.1425895690917969,0.5106220245361328,0.4723339080810547,0.5100612640380859,0.8102931976318359,0.39769554138183594,1.4148483276367188,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,274.30955505371094,270.86241149902344,280.8462219238281,282.04795837402344,287.2369384765625,293.4916076660156,294.85675048828125,294.63194274902344,290.7451171875,287.5863800048828,277.4921417236328,282.6329345703125,0.0022227506963190535,0.004819010303435789,0.004129279969788513,0.004130482375501288,0.008333108213548712,0.004109502559288103,0.004360380816763154,0.002126984150891076,0.002348982294279267,0.0036068807204969744,0.0016970383112493437,0.005536530622521241,101263.73046875,101451.24609375,101257.109375,100982.86328125,101153.625,100808.6953125,100930.3984375,100896.96484375,100899.2109375,100788.41796875,101560.53125,100985.8203125,279.4897766113281,275.37908935546875,287.40423583984375,289.03981018066406,293.62115478515625,299.00791931152344,300.6990661621094,301.2722930908203,297.95957946777344,293.13978576660156,284.26416015625,286.68666076660156,0.39050865173339844,-0.3561725616455078,-0.23084068298339844,0.2189016342163086,-0.6982946395874023,-0.12156486511230469,0.1566629409790039,-0.4941825866699219,-0.48394012451171875,0.3606719970703125,0.09721565246582031,0.5065469741821289,-0.1213693618774414,-0.9079580307006836,0.7502098083496094,0.5710172653198242,0.8108654022216797,1.1333122253417969,0.5032978057861328,0.5231151580810547,0.5256862640380859,0.8122463226318359,0.41185569763183594,1.4124069213867188,"{""type"":""MultiPoint"",""coordinates"":[]}"
