system:index,crop_label,sample_id,soil_bd,soil_clay,soil_oc,soil_ph,soil_sand,.geo
0_0,4,0,154,27,3,63,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,4,1,165,33,3,58,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3,2,156,15,2,57,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,3,3,155,16,2,55,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,3,4,154,38,2,61,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,3,5,162,40,3,62,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,3,6,164,36,2,65,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,3,7,163,47,3,60,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0,8,159,20,2,60,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,3,9,152,16,2,59,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,3,10,162,28,2,59,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,3,11,166,33,2,57,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,4,12,153,15,2,57,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,3,13,153,19,2,59,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,3,14,154,19,2,57,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,3,15,131,30,4,62,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,3,16,164,30,2,66,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,3,17,132,22,7,58,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,2,18,154,18,2,56,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0,19,150,21,3,56,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,3,20,163,38,3,61,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,3,21,149,22,2,62,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,3,22,155,26,2,68,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,3,23,156,24,2,59,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0,24,163,28,3,57,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,3,25,160,30,2,62,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,2,26,133,19,2,61,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,3,27,153,20,3,59,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,3,28,162,37,3,58,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,3,29,161,35,2,60,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0,30,155,15,2,55,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,3,31,165,28,2,60,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,3,32,152,20,3,54,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,3,33,160,28,2,58,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,3,34,147,27,2,66,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,1,35,155,22,3,61,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,3,36,161,32,2,65,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,3,37,159,36,4,65,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,3,38,155,18,2,55,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,3,39,156,31,2,64,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,3,40,160,23,2,56,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,3,41,160,43,3,61,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,3,42,165,29,2,59,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,3,43,155,14,2,57,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,3,44,163,41,3,62,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,3,45,157,21,2,58,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,3,46,160,42,4,60,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,3,47,162,33,3,62,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,3,48,157,37,4,64,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,4,49,153,22,2,57,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0,50,157,37,3,58,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0,51,131,19,3,57,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,3,52,158,20,2,57,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,3,53,158,22,3,63,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,2,54,151,20,7,56,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,3,55,133,22,2,59,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0,56,156,28,2,59,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,3,57,167,42,3,59,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,2,58,154,23,2,63,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,3,59,152,29,2,63,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,3,60,151,32,3,62,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,3,61,153,17,2,57,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0,62,154,26,3,59,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,3,63,147,19,3,60,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0,64,154,18,2,60,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,3,65,156,16,2,55,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,3,66,152,14,2,57,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,3,67,156,41,5,63,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0,68,153,19,2,58,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,3,69,159,26,2,59,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,3,70,152,16,2,58,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,2,71,154,25,4,62,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,3,72,165,33,2,57,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,3,73,155,24,2,61,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,0,74,157,24,3,58,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,3,75,154,18,2,57,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,2,76,155,18,2,57,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0,77,153,17,3,57,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,3,78,164,34,3,62,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,3,79,155,15,2,57,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,3,80,146,22,3,59,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,3,81,162,31,3,58,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,3,82,155,21,2,59,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,3,83,154,15,2,57,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,3,84,148,39,5,63,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0,85,159,40,3,56,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,3,86,164,33,2,58,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,3,87,160,23,2,58,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,3,88,150,14,2,54,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,3,89,155,18,2,58,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,3,90,165,29,3,59,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,3,91,164,48,4,59,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,2,92,152,20,2,58,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,0,93,155,16,2,60,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,3,94,160,24,2,58,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,3,95,152,18,3,59,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,3,96,157,43,4,61,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,3,97,157,23,2,59,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,3,98,153,17,2,58,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,3,99,152,19,2,58,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,3,100,158,33,2,62,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,3,101,156,23,2,57,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,3,102,155,23,2,56,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0,103,130,19,2,58,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,3,104,155,19,2,59,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0,105,164,50,4,61,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,3,106,157,27,2,62,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,3,107,154,33,2,60,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,3,108,153,15,2,58,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,3,109,161,23,2,60,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,3,110,154,17,3,57,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,3,111,153,18,2,58,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,3,112,158,27,3,56,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,3,113,150,24,2,59,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,3,114,161,31,2,61,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,3,115,125,27,3,58,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
