system:index,crop_label,sample_id,topo_aspect,topo_elevation,topo_slope,topo_tpi,.geo
0_0,4,0,205.72694,43,5.1339498,3.438485804416402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,4,1,211.11206,45,2.1656022,-0.18611987381703443,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3,2,-0.0,57,0.92740995,-1.8233438485804427,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,3,3,-0.0,60,0.0,-0.58359621451104,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,3,4,230.27678,43,1.4509815,0.8170347003154603,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,3,5,50.418385,47,2.9087503,3.24921135646688,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,3,6,-0.0,42,0.0,0.6529968454258679,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,3,7,67.49257,46,2.4214492,0.5299684542586718,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0,8,180.0,37,0.92740995,-1.7097791798107238,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,3,9,31.269663,69,2.169208,1.6466876971608855,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,3,10,309.70016,39,1.4516848,-0.3690851735015741,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,3,11,180.0,45,0.92740995,1.7570977917981097,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,4,12,230.44804,56,2.91057,0.100946372239747,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,3,13,50.413372,58,1.455159,1.9179810725552073,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,3,14,50.419777,58,1.4553556,-0.7760252365930569,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,3,15,270.0,39,1.1144631,-1.2302839116719255,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,3,16,-0.0,36,0.92740995,-0.7949526813880112,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,3,17,270.0,60,1.1217074,0.7350157728706606,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,2,18,270.0,53,2.243947,-0.9589905362776037,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,0,19,90.0,46,1.1190606,-0.9148264984227126,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,3,20,50.334286,42,1.4527364,-2.605678233438489,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,3,21,328.9229,44,2.1648061,-0.5425867507886437,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,3,22,180.0,44,0.92740995,-0.6372239747634083,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,3,23,270.0,50,1.1247807,0.7381703470031553,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0,24,211.07965,41,2.1648643,-1.3627760252365917,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,3,25,-0.0,38,1.8543341,-0.18611987381703443,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,2,26,-0.0,54,0.92740995,-0.7287066246056781,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,3,27,-0.0,56,0.0,-0.3406940063091497,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,3,28,-0.0,45,1.8543341,0.3406940063091497,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,3,29,67.42025,36,2.4141064,-0.32176656151419536,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0,30,148.8005,56,2.1675994,-2.1955835962145116,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,3,31,90.0,37,1.1150506,0.6656151419558327,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,3,32,-0.0,58,0.0,-1.403785488958988,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,3,33,270.0,47,1.1185665,1.41640378548896,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,3,34,-0.0,55,1.8543341,-4.138801261829656,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,1,35,-0.0,38,0.92740995,-0.17981072555205202,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,3,36,90.0,39,1.1169771,0.2460567823343851,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,3,37,67.50545,43,2.422762,-2.236593059936908,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,3,38,90.0,57,3.3645272,1.5268138801261841,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,3,39,-0.0,40,0.92740995,-1.100946372239747,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,3,40,-0.0,41,0.0,-0.9621451104100913,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,3,41,338.06277,45,2.9969313,1.381703470031546,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,3,42,31.067596,40,2.1645901,-1.246056782334385,"{""type"":""MultiPoint"",""coordinates"":[]}"
