system:index,dewpoint_m01,dewpoint_m02,dewpoint_m03,dewpoint_m04,dewpoint_m05,dewpoint_m06,dewpoint_m07,dewpoint_m08,dewpoint_m09,dewpoint_m10,dewpoint_m11,dewpoint_m12,precip_m01,precip_m02,precip_m03,precip_m04,precip_m05,precip_m06,precip_m07,precip_m08,precip_m09,precip_m10,precip_m11,precip_m12,pressure_m01,pressure_m02,pressure_m03,pressure_m04,pressure_m05,pressure_m06,pressure_m07,pressure_m08,pressure_m09,pressure_m10,pressure_m11,pressure_m12,temp_m01,temp_m02,temp_m03,temp_m04,temp_m05,temp_m06,temp_m07,temp_m08,temp_m09,temp_m10,temp_m11,temp_m12,wind_u_m01,wind_u_m02,wind_u_m03,wind_u_m04,wind_u_m05,wind_u_m06,wind_u_m07,wind_u_m08,wind_u_m09,wind_u_m10,wind_u_m11,wind_u_m12,wind_v_m01,wind_v_m02,wind_v_m03,wind_v_m04,wind_v_m05,wind_v_m06,wind_v_m07,wind_v_m08,wind_v_m09,wind_v_m10,wind_v_m11,wind_v_m12,.geo
0_0,275.37986755371094,275.30967712402344,273.2348937988281,273.77061462402344,275.3502197265625,278.8744201660156,280.52276611328125,281.16319274902344,279.8232421875,276.9848175048828,278.4843292236328,276.7891845703125,0.0028286766139444808,1.4496679705189308E-4,8.828906403550718E-4,1.828667520271665E-4,1.3283279542974924E-5,6.265693741625E-7,1.6570571119700617E-6,1.0801868484122679E-6,1.2000400602119043E-6,9.586836060293535E-4,1.940252368513029E-4,0.0026790243473442388,99258.73046875,99341.24609375,99158.109375,98823.86328125,98674.625,98464.6953125,98526.3984375,98430.96484375,98642.2109375,98920.41796875,99401.53125,99031.8203125,283.4018859863281,284.78924560546875,286.31048583984375,292.79566955566406,297.03717041015625,302.05674743652344,305.7518005371094,304.1140899658203,300.85411071777344,291.93080139160156,287.90283203125,282.59877014160156,0.6575984954833984,1.0036907196044922,0.9283390045166016,0.8395071029663086,1.1703577041625977,1.0844898223876953,1.018479347229004,0.9643135070800781,0.8798294067382812,0.7971954345703125,0.6841297149658203,0.5104532241821289,-0.0803537368774414,-0.9982900619506836,-0.4573097229003906,-0.9924592971801758,-1.3507556915283203,-0.7997932434082031,-0.3511943817138672,-0.5960254669189453,-0.7199192047119141,-0.40210914611816406,-0.5163669586181641,0.31719207763671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,276.21580505371094,276.37608337402344,274.4985656738281,275.50694274902344,276.8521728515625,280.2279357910156,281.67901611328125,282.46006774902344,280.8173828125,277.8031768798828,279.5546417236328,277.6270751953125,0.0030993785587725142,3.529832820277079E-4,0.0011803699718484495,2.403926848160154E-4,5.1546961117310275E-6,6.265693741625E-7,2.5436762030039972E-6,1.072736267815344E-6,1.3788539945380762E-6,0.0010976816376455645,2.0906795907649212E-4,0.0028319549646766973,100911.73046875,100998.24609375,100807.109375,100445.86328125,100277.625,100035.6953125,100074.3984375,99983.96484375,100212.2109375,100527.41796875,101036.53125,100679.8203125,283.7397766113281,285.09588623046875,286.59954833984375,292.80738830566406,296.88092041015625,301.93370056152344,305.6365661621094,303.9871368408203,300.92442321777344,292.29017639160156,288.01806640625,282.89955139160156,0.6180477142333984,1.3269329071044922,0.9283390045166016,1.2433156967163086,1.7250452041625977,1.3877124786376953,1.028733253479004,1.0561103820800781,1.0741653442382812,0.8509063720703125,0.8975086212158203,0.2746133804321289,-0.0930490493774414,-0.9401845932006836,-0.6609230041503906,-1.2668733596801758,-1.5787830352783203,-1.4965705871582031,-1.4307842254638672,-1.4309864044189453,-1.295602798461914,-0.6018161773681641,-0.5783786773681641,0.25811004638671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,276.29197692871094,276.41319274902344,273.8501281738281,274.79209899902344,275.8560791015625,279.4994201660156,281.16729736328125,281.78623962402344,280.3662109375,277.2953643798828,280.6444854736328,277.8223876953125,0.0021251406399187545,2.5965358418034157E-4,8.825032101640318E-4,1.6515672194827857E-4,1.162180006986091E-5,6.265693741625E-7,8.300426657115167E-7,1.072736267815344E-6,8.722145139472559E-7,9.047637542494158E-4,1.6540755677851848E-4,0.0027809780922325444,100203.73046875,100278.24609375,100095.109375,99737.86328125,99572.625,99345.6953125,99399.3984375,99304.96484375,99524.2109375,99834.41796875,100327.53125,99981.8203125,283.6929016113281,285.17010498046875,286.70111083984375,292.95191955566406,297.36529541015625,302.51768493652344,306.0935974121094,304.3543243408203,301.12950134277344,292.33119201660156,288.21337890625,282.84681701660156,0.19470787048339844,0.7287883758544922,0.6099796295166016,0.7774953842163086,1.2201623916625977,1.3125171661376953,1.246994972229004,1.1982002258300781,1.0946731567382812,0.7254180908203125,0.4736804962158203,0.016800880432128906,-0.2346506118774414,-1.1120595932006836,-0.5461769104003906,-1.1960725784301758,-1.5519275665283203,-1.0453987121582031,-0.5528545379638672,-0.7962207794189453,-0.9293918609619141,-0.5568943023681641,-0.7898044586181641,0.10430145263671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,276.53025817871094,276.59092712402344,273.7661437988281,274.78623962402344,276.1353759765625,279.5443420410156,280.94659423828125,281.60655212402344,280.1630859375,277.6039581298828,280.9022979736328,278.1173095703125,0.0023616593209681014,2.6901523870037636E-4,0.0010043723569879148,1.7575144755710426E-4,2.3438420896582102E-5,6.265693741625E-7,9.194496328746027E-7,1.072736267815344E-6,1.0510284482734278E-6,9.178320726164202E-4,1.6276260066661052E-4,0.0027879145827682805,100654.73046875,100730.24609375,100543.109375,100177.86328125,100006.625,99768.6953125,99814.3984375,99722.96484375,99949.2109375,100272.41796875,100773.53125,100430.8203125,283.7065734863281,285.17596435546875,286.85931396484375,293.08668518066406,297.43951416015625,302.70713806152344,306.4666442871094,304.6922149658203,301.36973571777344,292.45423889160156,288.18017578125,282.92298889160156,0.15271568298339844,0.7976360321044922,0.6573429107666016,0.7989797592163086,1.2494592666625977,1.2094898223876953,0.9911355972290039,0.9672431945800781,0.9711380004882812,0.6863555908203125,0.4326648712158203,-0.0886678695678711,-0.3606271743774414,-1.2009267807006836,-0.6711769104003906,-1.4060335159301758,-1.7535877227783203,-1.3452033996582031,-0.9884014129638672,-1.1858692169189453,-1.234079360961914,-0.6750583648681641,-0.9626560211181641,-0.00312042236328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,276.68846130371094,277.67686462402344,275.9966125488281,277.30186462402344,277.1900634765625,280.3314514160156,281.97198486328125,282.00498962402344,280.1435546875,277.2016143798828,281.2538604736328,277.9805908203125,0.002821725222247551,5.352617363314494E-4,0.0018095789538392637,3.4502863871921363E-4,6.361690168432688E-6,8.144205196458643E-6,1.0088566000376886E-6,1.072736267815344E-6,1.781185346771963E-6,0.0018192182143934588,1.9848068404826336E-4,0.005158160337487061,100212.73046875,100276.24609375,100100.109375,99738.86328125,99568.625,99334.6953125,99388.3984375,99294.96484375,99516.2109375,99832.41796875,100328.53125,99993.8203125,282.7807922363281,284.29119873046875,285.51556396484375,291.75074768066406,296.58404541015625,302.33018493652344,306.1424255371094,304.3269805908203,300.86973571777344,291.80384826660156,287.22900390625,282.29408264160156,-0.23204994201660156,0.7473430633544922,0.27599525451660156,0.9669485092163086,1.5819787979125977,1.7153491973876953,1.449631690979004,1.4110908508300781,1.2006301879882812,0.5764923095703125,0.4795398712158203,-0.2595663070678711,-0.2888498306274414,-0.9284658432006836,-0.5852394104003906,-1.1824007034301758,-1.4161853790283203,-1.0327033996582031,-0.7291240692138672,-0.9597949981689453,-0.9562473297119141,-0.6081638336181641,-0.7351169586181641,-0.09003448486328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,276.06346130371094,276.34873962402344,274.3638000488281,274.90538024902344,275.9302978515625,279.8119201660156,281.86456298828125,282.44639587402344,281.0908203125,277.5668487548828,280.0663604736328,277.8399658203125,0.0019802790013727645,1.6832809251354774E-4,8.680863367089842E-4,6.677925574649635E-5,5.102542047552561E-6,6.265693741625E-7,8.821967298899835E-7,1.0950880096061155E-6,8.722145139472559E-7,8.175472577818255E-4,1.3792236495646648E-4,0.0028998372044952703,100698.73046875,100767.24609375,100584.109375,100212.86328125,100038.625,99805.6953125,99859.3984375,99764.96484375,99988.2109375,100312.41796875,100812.53125,100480.8203125,283.8022766113281,285.51776123046875,287.03314208984375,293.41676330566406,297.86138916015625,302.70323181152344,305.9861755371094,304.3562774658203,301.19004821777344,292.56556701660156,288.30712890625,282.93666076660156,0.30603599548339844,0.6120891571044922,0.6509952545166016,0.8463430404663086,1.2260217666625977,1.4663257598876953,1.620530128479004,1.5492744445800781,1.2694778442382812,0.8533477783203125,0.4380359649658203,0.1588907241821289,0.0036306381225585938,-0.9914541244506836,-0.3552589416503906,-0.9114046096801758,-1.3409900665283203,-0.7153205871582031,-0.1553936004638672,-0.4197559356689453,-0.6178684234619141,-0.39380836486816406,-0.5149021148681641,0.31816864013671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,276.67478942871094,276.90147399902344,274.7661437988281,275.92881774902344,277.1510009765625,280.6205139160156,282.12628173828125,282.91123962402344,281.1943359375,278.0316925048828,280.7792510986328,278.0352783203125,0.0029657300440248946,4.38415364442335E-4,0.0013278691159257505,2.162602542625791E-4,1.2952953625244845E-6,6.265693741625E-7,9.04548471680755E-7,1.072736267815344E-6,1.945098119904287E-6,0.0012656102737196306,2.37544078117935E-4,0.0031888452258499456,100650.73046875,100736.24609375,100551.109375,100199.86328125,100033.625,99797.6953125,99840.3984375,99747.96484375,99970.2109375,100276.41796875,100777.53125,100420.8203125,283.4409484863281,284.82830810546875,286.21478271484375,292.30738830566406,296.41412353515625,301.57432556152344,305.1365661621094,303.4754180908203,300.47911071777344,292.03431701660156,287.78955078125,282.65736389160156,0.35486412048339844,1.2258586883544922,0.8140811920166016,1.4527883529663086,2.0111780166625977,1.7529468536376953,1.392991065979004,1.3988838195800781,1.3822708129882812,0.8836212158203125,0.8574695587158203,-0.026167869567871094,-0.1609201431274414,-1.0129384994506836,-0.7864112854003906,-1.4465608596801758,-1.7423572540283203,-1.7963752746582031,-1.7896709442138672,-1.7195606231689453,-1.529489517211914,-0.7253513336181641,-0.7370700836181641,0.13555145263671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,276.21580505371094,276.37608337402344,274.4985656738281,275.50694274902344,276.8521728515625,280.2279357910156,281.67901611328125,282.46006774902344,280.8173828125,277.8031768798828,279.5546417236328,277.6270751953125,0.0030993785587725142,3.529832820277079E-4,0.0011803699718484495,2.403926848160154E-4,5.1546961117310275E-6,6.265693741625E-7,2.5436762030039972E-6,1.072736267815344E-6,1.3788539945380762E-6,0.0010976816376455645,2.0906795907649212E-4,0.0028319549646766973,100911.73046875,100998.24609375,100807.109375,100445.86328125,100277.625,100035.6953125,100074.3984375,99983.96484375,100212.2109375,100527.41796875,101036.53125,100679.8203125,283.7397766113281,285.09588623046875,286.59954833984375,292.80738830566406,296.88092041015625,301.93370056152344,305.6365661621094,303.9871368408203,300.92442321777344,292.29017639160156,288.01806640625,282.89955139160156,0.6180477142333984,1.3269329071044922,0.9283390045166016,1.2433156967163086,1.7250452041625977,1.3877124786376953,1.028733253479004,1.0561103820800781,1.0741653442382812,0.8509063720703125,0.8975086212158203,0.2746133804321289,-0.0930490493774414,-0.9401845932006836,-0.6609230041503906,-1.2668733596801758,-1.5787830352783203,-1.4965705871582031,-1.4307842254638672,-1.4309864044189453,-1.295602798461914,-0.6018161773681641,-0.5783786773681641,0.25811004638671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,276.92674255371094,277.55967712402344,275.4966125488281,276.61827087402344,277.4674072265625,280.7962951660156,282.46221923828125,282.96397399902344,281.1728515625,278.2055206298828,281.4687042236328,278.3555908203125,0.0028278272477564315,4.901372949461802E-4,0.001592103956795654,2.316755055176145E-4,2.9865771580261935E-6,3.1597667771166016E-6,9.790542776499933E-7,1.072736267815344E-6,2.7050573407905176E-6,0.0016269708832510332,2.5863667178782634E-4,0.004214469799080689,101139.73046875,101210.24609375,101025.109375,100652.86328125,100473.625,100225.6953125,100266.3984375,100175.96484375,100406.2109375,100738.41796875,101250.53125,100915.8203125,283.1909484863281,284.58807373046875,286.23040771484375,292.43824768066406,296.86529541015625,302.24034118652344,305.9295349121094,304.1590118408203,300.92051696777344,292.19837951660156,287.50244140625,282.54017639160156,-0.03380775451660156,0.9397258758544922,0.5372257232666016,1.3575735092163086,1.9589319229125977,1.9248218536376953,1.640061378479004,1.6088447570800781,1.4906692504882812,0.7928009033203125,0.6768054962158203,-0.2771444320678711,-0.2287912368774414,-1.0588369369506836,-0.7947120666503906,-1.5036897659301758,-1.8024158477783203,-1.7226448059082031,-1.6505107879638672,-1.6585254669189453,-1.478219985961914,-0.7312107086181641,-0.7971286773681641,-0.00312042236328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,276.21580505371094,276.37608337402344,274.4985656738281,275.50694274902344,276.8521728515625,280.2279357910156,281.67901611328125,282.46006774902344,280.8173828125,277.8031768798828,279.5546417236328,277.6270751953125,0.0030993785587725142,3.529832820277079E-4,0.0011803699718484495,2.403926848160154E-4,5.1546961117310275E-6,6.265693741625E-7,2.5436762030039972E-6,1.072736267815344E-6,1.3788539945380762E-6,0.0010976816376455645,2.0906795907649212E-4,0.0028319549646766973,100911.73046875,100998.24609375,100807.109375,100445.86328125,100277.625,100035.6953125,100074.3984375,99983.96484375,100212.2109375,100527.41796875,101036.53125,100679.8203125,283.7397766113281,285.09588623046875,286.59954833984375,292.80738830566406,296.88092041015625,301.93370056152344,305.6365661621094,303.9871368408203,300.92442321777344,292.29017639160156,288.01806640625,282.89955139160156,0.6180477142333984,1.3269329071044922,0.9283390045166016,1.2433156967163086,1.7250452041625977,1.3877124786376953,1.028733253479004,1.0561103820800781,1.0741653442382812,0.8509063720703125,0.8975086212158203,0.2746133804321289,-0.0930490493774414,-0.9401845932006836,-0.6609230041503906,-1.2668733596801758,-1.5787830352783203,-1.4965705871582031,-1.4307842254638672,-1.4309864044189453,-1.295602798461914,-0.6018161773681641,-0.5783786773681641,0.25811004638671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
