system:index,crop_label,sample_id,soil_bd,soil_clay,soil_oc,soil_ph,soil_sand,.geo
0_0,2,0,153,19,2,79,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2,1,155,19,2,77,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,5,2,159,19,2,78,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,5,3,158,22,3,73,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,5,4,154,33,2,75,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0,5,139,36,4,72,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,5,6,159,27,2,75,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,5,7,158,31,2,73,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,4,8,154,18,2,75,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,1,9,156,26,2,76,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,2,10,158,21,2,77,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,2,11,156,18,2,76,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0,12,148,39,4,75,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,5,13,157,17,2,79,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,5,14,160,25,2,76,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,5,15,159,27,2,76,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,5,16,158,17,2,78,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,1,17,154,27,4,74,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,5,18,154,17,2,75,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,5,19,157,22,2,73,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,1,20,146,27,4,70,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,5,21,150,33,2,75,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,5,22,161,28,2,74,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,2,23,154,19,2,77,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0,24,154,25,3,72,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0,25,140,36,3,74,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,2,26,157,21,2,77,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,3,27,155,20,2,73,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0,28,156,36,5,76,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,5,29,169,20,2,69,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,5,30,151,30,2,76,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,5,31,135,36,5,75,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,2,32,155,20,2,75,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,2,33,152,17,2,76,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,5,34,156,17,2,77,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,2,35,142,27,2,72,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0,36,146,35,3,75,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,5,37,155,20,5,71,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,5,38,153,26,2,76,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,2,39,156,22,2,76,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,5,40,151,18,2,77,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,2,41,160,21,2,78,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0,42,147,38,5,74,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,5,43,167,19,2,72,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0,44,120,40,5,76,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,5,45,151,19,4,73,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,5,46,153,31,2,75,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,5,47,163,18,3,68,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,3,48,160,22,2,78,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,5,49,156,24,2,76,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,2,50,166,19,2,74,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0,51,146,34,3,76,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,1,52,157,22,3,75,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,1,53,157,18,2,72,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,5,54,147,28,2,76,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,2,55,156,18,2,78,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,5,56,168,21,4,69,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,2,57,157,22,2,78,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,2,58,158,22,2,75,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,5,59,164,37,4,71,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,5,60,156,18,2,79,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,5,61,155,22,2,77,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,5,62,168,24,2,76,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,5,63,161,26,2,76,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,1,64,153,17,2,75,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,2,65,159,22,2,79,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,5,66,158,21,2,80,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,5,67,160,20,2,76,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,2,68,145,36,4,71,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
