system:index,crop_label,sample_id,topo_aspect,topo_elevation,topo_slope,topo_tpi,.geo
0_0,2,0,51.224987,98,1.480661,0.9495268138801265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,2,1,308.7466,94,2.9611707,0.706624605678229,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,5,2,-0.0,93,1.8543341,1.3911671924290232,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,5,3,90.0,12,2.3781586,0.6813880126182958,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,5,4,291.3754,0,2.5430453,-4.037854889589905,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0,5,90.0,4,1.1856498,0.2586750788643535,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,5,6,-0.0,14,0.0,1.794952681388013,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,5,7,52.006824,4,1.5063776,0.12933753943217674,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,4,8,-0.0,78,2.7802885,0.3911671924290232,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,1,9,-0.0,10,0.92740995,-0.4479495268138809,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,2,10,157.44293,99,3.0101988,-0.006309148264989517,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,2,11,-0.0,81,1.8543341,1.618296529968461,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0,12,100.19728,6,15.339488,-0.6246056782334382,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,5,13,211.90697,91,2.1840818,1.529968454258679,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,5,14,270.0,7,3.5421555,0.47634069400630885,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,5,15,203.074,11,3.0216248,-0.8391167192429023,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,5,16,337.53043,87,3.0082974,0.2113564668769783,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,1,17,-0.0,6,1.8543341,-0.17665615141955815,"{""type"":""MultiPoint"",""coordinates"":[]}"
